week,location,average_price
04/04/2015,NS(113.96),91.70(131.47)
28/03/2015,84.97(102.38),NS(91.43)
21/03/2015,NS(NS),NS(NS)
14/03/2015,91.99 (NS),104.98 (NS)
07/03/2015,86.73(109.66),100.93(109.59)
28/02/2015,96.04(NS),104.08(NS)
21/02/2015,110.66(114.99),102.71(115.12)
14/02/2015,121.37(116.41),101.16(110.58)
07/02/2015,123.81(119.04),100.35(105.08)
31/01/2015,131.11(120.33),105.44(107.47)
24/01/2015,135.29(125.62),108.54(107.83)
17/01/2015,143.80(129.64),122.39(107.87)
10/01/2015,144.55(136.13),113.50(113.20)
03/01/2015,147.87(145.31),119.08(116.88)
31/12/2016,NS(147.26),127.81(125.94)
24/12/2016,144.88(153.79),131.35(135.27)
17/12/2016,148.67(157.45),130.57(134.46)
10/12/2016,148.35(155.83),133.78(133.57)
03/12/2016,152.06(154.94),133.44(137.00)
26/11/2016,154.83(157.92),138.11(144.91)
19/11/2016,154.58(152.56),137.02(141.95)
12/11/2016,152.38(154.15),138.84(147.66)
05/11/2016,150.34(155.49),137.18(141.27)
29/10/2016,147.48(153.37),137.98(140.56)
22/10/2016,148.41(NS),140.46(NS)
15/10/2016,NS(157.02),NS(140.93)
08/10/2016,144.54(162.17),139.15(141.25)
01/10/2016,147.47(153.90),138.78(145.37)
24/09/2016,149.87(158.22),139.27(146.82)
17/09/2016,150.20(164.58),137.97(144.42)
10/09/2016,149.90(164.57),140.12(144.06)
03/09/2016,151.35(165.47),141.28(149.82)
27/08/2016,150.00(168.49),142.04(152.24)
20/08/2016,155.05(170.35),141.17(152.27)
13/08/2016,158.31(166.07),143.12(151.38)
06/08/2016,159.40(163.72),144.15(151.02)
30/07/2016,159.43(169.45),146.07(152.64)
23/07/2016,162.54(169.12),149.85(156.88)
16/07/2016,171.50(169.33),154.04(150.99)
09/07/2016,163.96(163.85),155.34(155.18)
02/07/2016,168.49(155.47),154.87(153.59)
25/06/2016,163.93(163.57),152.88(153.20)
18/06/2016,163.88(161.95),152.99(151.84)
11/06/2016,154.04(153.28),150.08(150.97)
04/06/2016,144.51(153.48),146.46(149.26)
28/05/2016,144.66(157.29),133.69(143.73)
21/05/2016,145.09(145.07),129.30(145.40)
14/05/2016,150.15(153.55),136.08(143.06)
07/05/2016,146.67(148.11),133.41(148.38)
30/04/2016,149.14(154.19),139.84(147.73)
23/04/2016,160.41(164.50),146.24(120.68)
16/04/2016,164.44(110.39),154.38(156.83)
09/04/2016,143.69(108.09),170.53(138.15)
02/04/2016,NS(NS),119.11(91.70)
26/03/2016,NS(84.97),NS(NS)
19/03/2016,111.62(NS),NS(NS)
12/03/2016,NS(91.99),105.35(104.98)
05/03/2016,NS(86.73),NS(101.00)
27/02/2016,109.77(96.04),108.52(104.08)
20/02/2016,119.41(110.66),108.19(102.71)
13/02/2016,122.26(121.37),113.29(101.16)
06/02/2016,117.94(123.81),113.04(100.35)
30/01/2016,122.06(131.11),115.69(105.44)
23/01/2016,131.62(135.29),115.34(108.54)
16/01/2016,139.57(143.80),128.57(122.39)
09/01/2016,145.47(144.55),129.16(113.50)
02/01/2016,147.26(147.87),125.94(119.08)
30/12/2017,149.17(NS),136.80(127.81)
23/12/2017,147.62(144.88),139.79(131.35)
16/12/2017,155.58(148.67),140.58(130.57)
09/12/2017,157.88(148.35),140.01(133.78)
02/12/2017,157.66(152.06),142.47(133.44)
25/11/2017,159.51(154.83),143.61(138.11)
18/11/2017,157.92(154.58),142.04(137.01)
11/11/2017,159.63(152.38),144.18(138.84)
04/11/2017,158.91(150.34),147.84(137.18)
28/10/2017,159.21(147.48),152.04(137.98)
21/10/2017,159.12(148.41),148.86(140.46)
14/10/2017,160.37(NS),153.66(NS)
07/10/2017,165.01(144.54),151.24(139.15)
30/09/2017,NS(147.47),NS(138.78)
23/09/2017,162.78(149.87),153.70(139.27)
16/09/2017,153.92(150.20),149.57(137.97)
09/09/2017,160.59(149.90),147.99(140.12)
02/09/2017,156.33(151.35),149.81(141.28)
26/08/2017,163.05(150.00),153.43(142.04)
19/08/2017,165.98(155.05),153.11(141.17)
12/08/2017,164.03(158.31),156.38(143.12)
05/08/2017,154.56(159.40),156.28(144.15)
29/07/2017,162.98(159.43),153.23(146.07)
22/07/2017,165.87(162.54),151.19(149.85)
15/07/2017,160.57(171.50),151.21(154.04)
08/07/2017,170.56(163.96),152.63(155.34)
01/07/2017,165.76(168.49),150.69(154.87)
24/06/2017,161.95(163.93),157.62(152.88)
17/06/2017,159.84(163.88),157.29(152.99)
10/06/2017,149.52(154.04),150.17(150.08)
03/06/2017,139.43(144.51),140.04(146.46)
27/05/2017,140.33(144.66),131.32(133.69)
20/05/2017,147.06(145.09),131.78(129.30)
13/05/2017,149.13(150.15),139.20(136.08)
06/05/2017,148.71(146.67),142.07(133.41)
29/04/2017,148.44(149.14),148.50(139.84)
22/04/2017,151.77(160.41),158.44(146.24)
15/04/2017,120.65(164.44),161.34(154.38)
08/04/2017,112.70(143.69),130.71(170.53)
01/04/2017,NS(NS),106.49(119.11)
25/03/2017,105.09(NS),NS(NS)
18/03/2017,106.99(111.62),109.54(NS)
11/03/2017,108.97(NS),104.74(105.35)
04/03/2017,108.12(NS),106.32(NS)
25/02/2017,110.41(109.77),110.20(108.52)
18/02/2017,116.79(119.41),106.49(108.19)
11/02/2017,123.73(122.26),105.59(113.29)
04/02/2017,129.21(117.94),106.14(113.04)
28/01/2017,131.53(122.06),111.18(115.69)
21/01/2017,138.95(131.62),118.20(115.34)
14/01/2017,137.42(139.57),119.67(128.57)
07/01/2017,142.07(145.47),123.86(129.16)
29/12/2018,151.87(149.17),133.51(136.80)
22/12/2018,154.33(147.62),137.02(139.79)
15/12/2018,155.64(155.58),140.67(140.58)
08/12/2018,159.12(157.88),143.55(140.01)
01/12/2018,160.37(157.66),147.55(142.47)
24/11/2018,158.48(159.51),147.28(143.61)
17/11/2018,159.47(157.92),147.43(142.04)
10/11/2018,163.10(159.63),151.88(144.19)
27/10/2018,160.44(159.21),149.95(152.04)
13/10/2018,164.21(160.37),148.63(153.66)
20/10/2018,NS(159.12),NS(148.86)
06/10/2018,160.79(165.01),148.20(151.24)
29/09/2018,160.65(NS),147.19(NS)
22/09/2018,162.13(162.78),148.76(153.70)
15/09/2018,162.45(153.92),150.93(149.57)
08/09/2018,161.30(160.59),154.19(147.99)
01/09/2018,161.86(156.33),156.83(149.87)
25/08/2018,162.97(163.05),156.72(153.43)
18/08/2018,169.98(165.98),157.95(153.11)
11/08/2018,172.28(164.03),160.61(156.38)
04/04/2018,175.72(154.56),162.69(156.27)
28/07/2018,174.90(162.98),164.44(153.23)
21/07/2018,175.30(165.87),163.96(151.19)
14/07/2018,174.36(160.57),163.85(151.21)
07/07/2018,180.65(170.56),161.32(152.66)
30/06/2018,180.81(165.76),165.07(150.69)
23/06/2018,173.12(161.95),168.36(157.62)
16/06/2018,165.87(159.84),160.82(157.29)
09/06/2018,156.67(149.52),153.37(150.17)
02/06/2018,150.81(139.43),151.35(140.04)
26/05/2018,155.28(140.33),142.67(131.32)
19/05/2018,159.89(147.06),146.36(131.78)
12/05/2018,165.65(149.13),146.06(139.20)
05/05/2018,156.77(148.71),154.72(142.07)
28/04/2018,150.52(148.44),160.65(148.50)
21/04/2018,147.19(151.77),153.65(158.44)
14/04/2018,114.92(120.65),154.56(161.34)
07/04/2018,119.74(115.00),125.75(130.71)
31/03/2018,NS(NS),93.38(106.49)
24/03/2018,99.48(105.09),NS(NS)
17/03/2018,NS(106.99),NS(109.54)
10/03/2018,NS(108.97),99.30(104.74)
03/03/2018,112.20(108.12),99.12(106.32)
24/02/2018,111.99(110.41),99.85(110.20)
17/02/2018,116.67(116.79),103.25(106.49)
10/02/2018,119.08(123.73),104.53(105.59)
03/02/2018,123.78(129.21),108.40(106.14)
27/01/2018,130.46(131.53),112.03(111.18)
20/01/2018,131.26(138.95),120.58(118.20)
14/01/2018,134.16(137.42),126.34(119.67)
07/01/2018,143.37(142.07),132.49(123.86)
28/12/2019,152.94(151.87),134.25(133.51)
21/12/2019,154.19(154.33),138.83(137.02)
14/12/2019,153.19(155.64),NS(140.67)
07/12/2019,155.34(159.12),140.59(143.55)
30/11/2019,159.51(160.37),137.90(147.55)
23/11/2019,159.41(158.48),141.72(147.28)
16/11/2019,154.48(159.47),144.50(147.43)
09/11/2019,155.60(163.10),146.59(151.88)
02/11/2019,162.45(160.15),142.76(147.98)
26/10/2019,162.89(160.44),149.05(149.95)
19/10/2019,159.11(NS),149.48(NS)
12/10/2019,NS(164.21),NS(148.63)
05/10/2019,166.87(160.79),153.15(148.20)
28/09/2019,162.83(160.65),149.28(147.19)
21/09/2019,164.01(162.13),149.32(148.76)
14/09/2019,168.08(162.45),149.50(150.93)
07/09/2019,177.56(161.30),155.87(154.19)
31/08/2019,169.47(161.86),155.37(156.83)
24/08/2019,174.81(162.97),156.13(156.72)
17/08/2019,176.72(169.98),156.66(157.95)
10/08/2019,183.59(172.28),161.64(160.61)
03/08/2019,182.14(175.72),160.83(162.69)
27/07/2019,178.43(174.90),163.94(164.44)
20/07/2019,179.47(175.30),161.31(163.96)
13/07/2019,173.56(174.36),157.55(163.85)
06/07/2019,176.81(180.65),158.04(161.32)
29/06/2019,173.17(180.81),156.14(165.07)
22/06/2019,171.35(173.12),161.93(168.36)
15/06/2019,159.03(165.87),154.08(160.82)
08/06/2019,151.61(156.67),146.91(153.37)
01/06/2019,144.51(150.81),138.45(151.35)
25/05/2019,149.69(155.28),134.29(142.67)
18/05/2019,147.74(159.89),134.50(146.36)
11/05/2019,152.57(165.65),134.76(146.06)
04/05/2019,158.52(156.77),142.65(154.72)
27/04/2019,151.90(150.52),151.25(160.65)
20/04/2019,150.44(147.19),165.80(153.65)
13/04/2019,147.38(114.92),169.83(154.56)
06/04/2019,118.77(119.74),175.02(125.75)
30/03/2019,NS(NS),144.43(98.38)
23/03/2019,108.90(99.48),113.00(NS)
16/03/2019,107.51(NS),NS(NS)
09/03/2019,115.79(NS),NS(99.30)
02/03/2019,111.86(112.20),121.46(99.13)
23/02/2019,113.40(111.99),NS(99.85)
16/02/2019,118.48(116.67),124.45(103.25)
09/02/2019,124.27(119.08),120.36(104.53)
02/02/2019,127.98(123.78),122.22(108.40)
26/01/2019,135.92(130.46),124.06(112.03)
19/01/2019,141.68(131.26),123.32(120.58)
12/01/2019,144.28(134.16),127.58(126.34)
05/01/2019,147.85(143.37),130.75(132.49)
26/12/2020,183.61(152.94),160.80(134.25)
19/12/2020,176.24(154.19),157.43(138.83)
12/12/2020,176.11(153.19),165.85(NS)
05/12/2020,181.13(155.34),163.78(140.59)
28/11/2020,186.52(159.51),168.80(137.90)
21/11/2020,190.86(159.41),176.33(141.72)
14/11/2020,216.65(154.48),186.39(144.50)
07/11/2020,223.97(155.60),191.65(146.59)
31/10/2020,NS(162.45),205.06(142.76)
24/10/2020,241.28(162.89),214.48(149.05)
17/10/2020,248.03(159.11),226.98(149.48)
10/10/2020,258.59(NS),239.38(NS)
03/10/2020,269.09(166.87),257.40(153.15)
26/09/2020,274.35(162.83),264.71(149.28)
19/09/2020,283.32(164.01),274.79(149.32)
12/09/2020,NS(168.08),281.29(149.50)
05/09/2020,297.00(177.56),289.69(155.87)
29/08/2020,302.91(169.47),297.81(155.37)
22/08/2020,312.13(174.81),296.08(156.13)
15/08/2020,314.22(176.72),297.90(156.66)
08/08/2020,313.58(183.59),288.71(161.64)
01/08/2020,299.17(182.14),279.22(160.83)
25/07/2020,290.01(178.43),NS(163.94)
18/07/2020,286.15(179.47),281.23(161.31)
11/07/2020,271.25(173.56),NS(157.55)
04/07/2020,266.99(176.81),272.12(158.04)
27/06/2020,247.44(173.17),263.58(156.14)
20/06/2020,247.44(171.35),252.15(161.93)
13/06/2020,222.93(159.03),229.90(154.08)
06/06/2020,205.82(151.61),214.39(146.91)
30/05/2020,NS(144.51),196.56(138.45)
23/05/2020,NS(149.69),195.51(134.29)
16/05/2020,135.67(147.74),216.54(134.50)
09/05/2020,NS(152.57),150.05(134.76)
02/05/2020,NS(158.52),217.12(142.65)
25/04/2020,NS(151.90),111.35(151.25)
18/04/2020,NS(150.44),NS(165.80)
11/04/2020,NS(147.38),NS(169.83)
04/04/2020,NS (118.77),NS (175.02)
21/03/2020,89.92(108.90),82.23(113.00)
14/03/2020,90.82(107.51),NS(NS)
07/03/2020,94.68(115.79),85.97(NS)
29/02/2020,94.13(111.86),88.87(121.46)
22/02/2020,100.24(113.40),85.68(NS)
15/02/2020,105.88(118.48),91.52(124.45)
08/02/2020,115.80(124.27),99.30(120.36)
01/02/2020,125.28(127.98),106.26(122.22)
25/01/2020,128.59(135.92),112.08(124.06)
18/01/2020,131.78(141.68),118.75(123.32)
11/01/2020,140.19(144.28),128.10(127.58)
04/01/2020,143.66(147.85),131.95(130.75)
25/12/2021,195.20(183.61),167.91(160.80)
18/12/2021,192.17(176.24),175.77(157.43)
11/12/2021,201.17(176.11),178.89(165.85)
04/12/2021,209.80(181.13),181.62(163.78)
27/11/2021,224.98(186.52),185.18(168.80)
20/11/2021,223.46(190.86),185.48(176.33)
13/11/2021,205.26(216.65),187.18(186.39)
06/11/2021,209.17(223.97),186.43(191.65)
30/10/2021,203.09(NS),177.17(205.06)
23/10/2021,211.73(241.28),176.98(214.48)
16/10/2021,NS(248.03),NS(226.98)
09/10/2021,208.58(258.59),172.81(239.38)
02/10/2021,210.54(269.09),180.46(257.40)
25/09/2021,210.30(274.35),177.76(264.71)
18/09/2021,203.95(283.32),181.04(274.79)
11/09/2021,204.70(NS),174.56(281.29)
04/09/2021,211.73(297.00),172.35(289.69)
28/08/2021,210.48(302.91),170.71(297.81)
21/08/2021,220.83(312.13),173.40(296.08)
14/08/2021,211.27(314.22),173.36(297.90)
07/08/2021,210.38(313.58),175.63(288.71)
31/07/2021,213.93(299.17),180.68(279.22)
24/07/2021,214.17(290.01),183.67(NS)
17/07/2021,224.12(286.15),195.69(281.23)
10/07/2021,229.40 (271.25),207.14 (NS)
03/07/2021,247.99(266.99),225.96(272.12)
26/06/2021,238.82(247.44),230.82(263.58)
19/06/2021,236.20(247.44),234.00(252.15)
12/06/2021,223.94(222.93),233.97(229.90)
05/06/2021,226.43(205.82),226.96(214.39)
29/05/2021,NS(NS),223.07(196.56)
22/05/2021,221.95(NS),217.89(195.51)
15/05/2021,214.24(135.67),211.57(216.54)
08/05/2021,219.79(NS),204.12(150.05)
05/05/2021,129.79(NS),204.12(150.05)
01/05/2021,206.04(NS),197.68(217.12)
24/04/2021,212.06(NS),199.02(111.35)
17/04/2021,215.88(NS),NS(NS)
10/04/2021,195.14(NS),231.06(NS)
03/04/2021,NS(NS),157.20(NS)
27/03/2021,145.91(NS),NS(NS)
20/03/2021,NS(89.92),NS(82.23)
13/03/2021,145.50(90.82),149.59(NS)
06/03/2021,147.73(94.68),NS(85.97)
27/02/2021,156.36(94.13),158.10(88.87)
20/02/2021,167.61(100.24),145.83(85.68)
13/02/2021,174.30(105.88),147.65(91.52)
06/02/2021,171.46(115.80),156.74(99.30)
30/01/2021,184.65(125.28),160.29(106.26)
23/01/2021,181.99(128.59),164.85(112.08)
16/01/2021,183.20(131.78),168.27(118.75)
09/01/2021,183.43(140.19),167.99(128.10)
02/01/2021,187.04(143.66),164.08(131.95)
31/12/2022,180.61(191.56),155.85(162.42)
24/12/2022,184.51(195.20),160.73(167.91)
17/12/2022,183.74(192.17),162.55(175.77)
10/12/2022,192.30(201.17),172.12(178.89)
03/12/2022,196.36(209.80),175.94(181.62)
26/11/2022,204.60(224.98),181.44(185.18)
19/11/2022,206.67(223.46),184.06(185.48)
12/11/2022,214.24(205.26),188.18(187.18)
05/11/2022,209.49(209.17),194.02(186.43)
29/10/2022,225.98(203.09),195.48(177.17)
22/10/2022,218.39(211.73),203.47(176.98)
15/10/2022,216.64(NS),201.39(NS)
08/10/2022,NS(208.58),NS(172.81)
01/10/2022,212.43(210.54),193.12(180.46)
24/09/2022,215.71(210.30),195.06(177.76)
17/09/2022,227.83(203.95),202.41(181.04)
10/09/2022,235.43(204.70),212.39(174.56)
03/09/2022,245.11(211.73),216.24(172.35)
27/08/2022,245.61(210.48),212.01(170.71)
20/08/2022,244.30(220.83),210.90(173.40)
13/08/2022,245.05(211.27),211.61(173.36)
06/08/2022,250.88(210.38),209.95(175.63)
30/07/2022,250.86(213.93),215.11(180.71)
23/07/2022,240.99(214.17),207.12(183.67)
16/07/2022,236.69(224.12),205.16(195.69)
09/07/2022,248.26(229.40),208.70(207.14)
02/07/2022,257.45(247.99),213.37(225.96)
25/06/2022,258.02(238.82),216.62(230.82)
18/06/2022,250.37(236.20),224.31(234.00)
11/06/2022,212.26(223.94),208.38(233.97)
04/06/2022,189.99(226.43),189.27(226.96)
28/05/2022,187.06(NS),180.88(223.07)
21/05/2022,197.95(221.95),180.30(217.89)
14/05/2022,197.65(214.24),185.60(211.57)
07/05/2022,214.26(219.79),194.29(204.12)
30/04/2022,238.82(206.64),215.41(197.68)
23/04/2022,241.59(212.06),256.67(199.02)
16/04/2022,236.80(215.88),272.04(NS)
09/04/2022,225.79(195.14),242.09(231.06)
02/04/2022,NS(NS),130.15(157.20)
26/03/2022,144.31(145.91),NS(NS)
19/03/2022,NS(NS),NS(NS)
12/03/2022,NS(145.50),NS(149.59)
05/03/2022,NS(147.73),132.14(NS)
26/02/2022,142.20(156.36),NS(158.10)
19/02/2022,NS(167.61),135.50(145.83)
12/02/2022,148.65(174.30),141.80(147.65)
05/02/2022,161.20(171.46),148.10(156.74)
29/01/2022,NS(184.65),149.06(160.29)
22/01/2022,166.24(181.99),148.01(164.85)
15/01/2022,175.82(183.20),151.42(168.27)
08/01/2022,180.49(183.43),153.81(167.99)
01/01/2022,191.56(187.04),162.42(164.08)
08/07/2023,238.82(248.26),215.23(208.7)
01/07/2023,241.71(257.45),213.56(213.37)
24/06/2023,235.75(258.02),213.03(213.88)
17/06/2023,236.22(250.37),217.54(214.66)
10/06/2023,225.96(212.26),215.78(199.63)
03/06/2023,199.47(189.99),206.53(183.57)
27/05/2023,186.28(187.06),193.01(176.16)
20/05/2023,183.69(197.95),183.62(178.9)
13/05/2023,194.3(197.65),190.91(184.87)
06/05/2023,189.32(214.26),193.24(196.4)
29/04/2023,200.11(238.82),200.93(216.77)
22/04/2023,197.09(241.59),213.97(252.43)
15/04/2023,184.54(236.8),222.77(277.84)
08/04/2023,199.49(225.79),215.23(249.70)
01/04/2023,NS(NS),171.99(126.44)
25/03/2023,149.89(144.31),139.38(NS)
18/03/2023,NS(NS),NS(NS)
11/03/2023,140.14(NS),135.90(NS)
04/03/2023,149.57(NS),134.52(129.76)
25/02/2023,NS(142.2),NS(NS)
18/02/2023,153.26(NS),139.48(134.08)
11/02/2023,148.58(148.65),140.69(140.76)
04/02/2023,148.16(161.20),141.62(146.47)
28/01/2023,153.55(NS),140.58(146.73)
21/01/2023,152.02(166.24),139.6(149.83)
14/01/2023,162.08(175.82),144.66(153.57)
07/01/2023,167.96(180.49),147.71(154.91)
